item_id,features
277430,"Halo: Spartan Assault, Vanguard Games,343 Industries, 2014"
270550,"Yet Another Zombie Defense, Awesome Games Studio, 2014"
274940,"Depth, Digital Confectioners, 2014"
212070,"Star Conflict, Star Gem Inc., 2013"
264140,"Pixel Piracy, Vitali Kirpu, 2015"
32430,"STAR WARS™ - The Force Unleashed™ Ultimate Sith Edition, LucasArts,Aspyr Studios, 2009"
55230,"Saints Row: The Third, Volition, 2011"
332800,"Five Nights at Freddy's 2, Scott Cawthon, 2014"
35450,"Red Orchestra 2: Heroes of Stalingrad with Rising Storm, Tripwire Interactive, 2011"
212680,"FTL: Faster Than Light, Subset Games, 2012"
391540,"Undertale, tobyfox, 2015"
200510,"XCOM: Enemy Unknown, Firaxis Games,Feral Interactive (Mac),Feral Interactive (Linux), 2012"
210770,"Sanctum 2, Coffee Stain Studios, 2013"
264200,"One Finger Death Punch, Silver Dollar Games, 2014"
265610,"Epic Battle Fantasy 4, Matt Roszak, 2014"
47870,"Need For Speed: Hot Pursuit, Criterion Games, 2010"
351640,"Eternal Senia, Holy Priest, 2015"
253710,"theHunter Classic, Expansive Worlds,Avalanche Studios, 2014"
339280,"Strife®, S2 Games, 2015"
250180,"METAL SLUG 3, SNK CORPORATION,DotEmu, 2014"
295550,"Royal Quest, Katauri, 2014"
227940,"Heroes &amp; Generals, Reto-Moto, 2016"
8850,"BioShock® 2, 2K Marin,2K China,Digital Extremes,2K Australia,Feral Interactive (Mac), 2010"
220240,"Far Cry 3, Ubisoft Montreal, Massive Entertainment, and Ubisoft Shanghai, 2012"
233720,"Surgeon Simulator, Bossa Studios, 2013"
320760,"Tokyo School Life, M2 Co.,LTD, 2015"
209870,"Blacklight: Retribution, Hardsuit Labs, 2012"
362890,"Black Mesa, Crowbar Collective, 2015"
322170,"Geometry Dash, RobTop Games, 2014"
311560,"Assassin’s Creed® Rogue, Ubisoft Sofia,Ubisoft Kiev, 2015"
249570,"The Castle Doctrine, Jason Rohrer, 2014"
316010,"Magic Duels, Stainless Games Ltd., 2015"
218230,"PlanetSide 2, Daybreak Game Company, 2012"
301520,"Robocraft, Freejam, 2017"
221100,"DayZ, Bohemia Interactive, 2013"
222880,"Insurgency, New World Interactive, 2014"
206420,"Saints Row IV, Deep Silver Volition, 2013"
370480,"Pixel Galaxy, Serenity Forge, 2015"
266210,"One Way Heroics, Smoking WOLF, 2014"
221380,"Age of Empires II HD, Skybox Labs,Hidden Path Entertainment,Ensemble Studios, 2013"
298110,"Far Cry® 4, Ubisoft Montreal, Red Storm, Shanghai, Toronto, Kiev, 2014"
222420,"THE KING OF FIGHTERS '98 ULTIMATE MATCH FINAL EDITION, SNK CORPORATION,Code Mystics, 2014"
333950,"Medieval Engineers, Keen Software House, 2015"
222440,"THE KING OF FIGHTERS 2002 UNLIMITED MATCH, SNK CORPORATION,Code Mystics, 2015"
287700,"METAL GEAR SOLID V: THE PHANTOM PAIN, Konami Digital Entertainment, 2015"
47410,"Stronghold Kingdoms, FireFly Studios, 2012"
317470,"Cubic Castles, Cosmic Cow LLC, 2014"
245620,"Tropico 5, Haemimont Games, 2014"
274980,"Influent, Rob Howland, 2014"
200210,"Realm of the Mad God, Wild Shadow Studios, 2012"
31280,"Poker Night at the Inventory, Telltale Games, 2010"
252490,"Rust, Facepunch Studios, 2013"
8930,"Sid Meier's Civilization® V, Firaxis Games,Aspyr (Mac, Linux), 2010"
237310,"Elsword, KOG, 2014"
231430,"Company of Heroes 2, Relic Entertainment,Feral Interactive (Mac),Feral Interactive (Linux), 2013"
230410,"Warframe, Digital Extremes, 2013"
7940,"Call of Duty® 4: Modern Warfare®, Infinity Ward,Aspyr (Mac), 2007"
33900,"Arma 2, Bohemia Interactive, 2009"
10180,"Call of Duty®: Modern Warfare® 2, Infinity Ward,Aspyr (Mac), 2009"
234190,"Receiver, Wolfire Games, 2013"
261030,"The Walking Dead: Season 2, Telltale Games, 2013"
243470,"Watch_Dogs™, Ubisoft, 2014"
203750,"Binary Domain, Devil's Details, 2012"
304050,"Trove, Trion Worlds, 2015"
302830,"BLOCKADE 3D, Shumkov Dmitriy, 2014"
242760,"The Forest, Endnight Games Ltd, 2014"
352460,"Dead Realm, Section Studios, 2015"
322920,"theHunter: Primal, Expansive Worlds,Avalanche Studios, 2015"
265750,"Secret Ponchos, Switchblade Monkeys Entertainment, 2015"
276340,"My Riding Stables: Life with Horses, Sproing, 2014"
49520,"Borderlands 2, Gearbox Software,Aspyr (Mac &amp; Linux), 2012"
223510,"Miasmata, IonFx, 2012"
274920,"FaceRig, Holotech Studios, 2015"
268750,"Magicite, SmashGames, 2014"
360870,"Ultimate Tic-Tac-Toe, Tigerish Games, 2015"
12900,"AudioSurf, Dylan Fitterer, 2008"
335670,"LISA, Dingaling, 2014"
8190,"Just Cause 2, Avalanche Studios, 2010"
500,"Left 4 Dead, Valve, 2008"
231040,"Beatbuddy: Tale of the Guardians, Threaks, 2013"
47790,"Medal of Honor™, Electronic Arts, 2010"
380,"Half-Life 2: Episode One, Valve, 2006"
420,"Half-Life 2: Episode Two, Valve, 2007"
21100,"F.E.A.R. 3, Day 1 Studios, 2011"
215470,"Primal Carnage, Lukewarm Media, 2012"
219990,"Grim Dawn, Crate Entertainment, 2016"
248860,"NEO Scavenger, Blue Bottle Games, 2014"
290020,"LogicBots, Incandescent Games, 2017"
298260,"Only If, Creability, 2014"
221260,"Little Inferno, Tomorrow Corporation, 2012"
113020,"Monaco: What's Yours Is Mine, Pocketwatch Games, 2013"
204030,"Fable - The Lost Chapters, Lionhead Studios, 2011"
248820,"Risk of Rain, Hopoo Games, LLC, 2013"
10150,"Prototype™, Radical Entertainment, 2009"
291550,"Brawlhalla, Blue Mammoth Games, 2017"
265930,"Goat Simulator, Coffee Stain Studios, 2014"
10090,"Call of Duty: World at War, Treyarch, 2008"
218680,"Scribblenauts Unlimited, 5th Cell Media, 2012"
22370,"Fallout 3: Game of the Year Edition, Bethesda Game Studios, 2009"
307690,"Sleeping Dogs: Definitive Edition, United Front Games,Feral Interactive (Mac), 2014"
248610,"Door Kickers, KillHouse Games, 2014"
250340,"Blockland, Eric Hartman,Ben Garney,Anthony Rotondo, 2007"
9450,"Warhammer® 40,000: Dawn of War® - Soulstorm, Relic Entertainment, 2008"
104900,"ORION: Prelude, Trek Industries, Inc, 2013"
221640,"Super Hexagon, Terry Cavanagh, 2012"
262410,"World of Guns: Gun Disassembly, Noble Empire Corp., 2014"
221040,"Resident Evil 6 / Biohazard 6, Capcom, 2013"
222940,"THE KING OF FIGHTERS XIII STEAM EDITION, SNK CORPORATION, 2013"
208520,"Omerta - City of Gangsters, Haemimont Games, 2013"
108600,"Project Zomboid, The Indie Stone, 2013"
317360,"Double Action: Boogaloo, Double Action Factory, 2014"
239660,"Soldier Front 2, Dragonfly, 2013"
228280,"Baldur's Gate: Enhanced Edition, Beamdog, 2013"
346010,"Besiege, Spiderling Studios, 2015"
313120,"Stranded Deep, Beam Team Games, 2015"
17300,"Crysis, Crytek, 2007"
206440,"To the Moon, Freebird Games, 2011"
209100,"Resident Evil: Operation Raccoon City, Slant Six Games, 2012"
218060,"BIT.TRIP Presents... Runner2: Future Legend of Rhythm Alien, Gaijin Games, 2013"
209000,"Batman™: Arkham Origins, WB Games Montreal,Splash Damage, 2013"
9480,"Saints Row 2, Volition, 2009"
22230,"Rock of Ages, ACE Team, 2011"
19900,"Far Cry® 2: Fortune's Edition, Ubisoft Montreal, 2008"
200260,"Batman: Arkham City - Game of the Year Edition, Rocksteady Studios,Feral Interactive (Mac), 2012"
241540,"State of Decay, Undead Labs, 2013"
17390,"SPORE™, Maxis™, 2008"
274310,"Always Sometimes Monsters, Vagabond Dog, 2014"
344770,"fault - milestone two side:above, ALICE IN DISSONANCE, 2015"
22380,"Fallout: New Vegas, Obsidian Entertainment, 2010"
245490,"Trials Fusion™, RedLynx, in collaboration with  Ubisoft Shanghai, Ubisoft Kiev, 2014"
209080,"Guns of Icarus Online, Muse Games, 2012"
269250,"WORLD END ECONOMiCA episode.01, Spicy Tails, 2014"
319510,"Five Nights at Freddy's, Scott Cawthon, 2014"
212500,"The Lord of the Rings Online™, Standing Stone Games, LLC, 2012"
214420,"Gear Up, Doctor Entertainment AB, 2015"
218130,"Dungeonland, Critical Studio, 2013"
8980,"Borderlands, Gearbox Software, 2009"
57300,"Amnesia: The Dark Descent, Frictional Games, 2010"
43000,"Front Mission Evolved, Double Helix Games, 2010"
18700,"And Yet It Moves, Broken Rules, 2009"
98800,"Dungeons of Dredmor, Gaslamp Games, Inc., 2011"
107100,"Bastion, Supergiant Games, 2011"
226620,"Desktop Dungeons, QCF Design, 2013"
346900,"AdVenture Capitalist, Hyper Hippo Games, 2015"
250900,"The Binding of Isaac: Rebirth, Nicalis, Inc., 2014"
380600,"Fishing Planet, Fishing Planet LLC, 2015"
2450,"Bloody Good Time, Outerlight Ltd., 2010"
230190,"War for the Overworld, Brightrock Games, 2015"
246420,"Kingdom Rush, Ironhide Game Studio, 2014"
263020,"STARWHAL, Breakfall, 2014"
289130,"Endless Legend™, AMPLITUDE Studios, 2014"
249050,"Dungeon of the Endless™, AMPLITUDE Studios, 2014"
418340,"RWBY: Grimm Eclipse, Rooster Teeth Games, 2016"
96100,"Defy Gravity Extended, Paul Fisch, 2016"
252630,"Eldritch, Minor Key Games, 2013"
219640,"Chivalry: Medieval Warfare, Torn Banner Studios, 2012"
203160,"Tomb Raider, Crystal Dynamics,Feral Interactive (Mac),Feral Interactive (Linux), 2013"
213850,"Magic 2014 — Duels of the Planeswalkers, Stainless Games, 2013"
8400,"Geometry Wars: Retro Evolved, Bizarre Creations, 2007"
282440,"Quake Live™, id Software, 2010"
369580,"NotGTAV, NotGames, 2015"
225640,"Sacred 2 Gold, Ascaron, 2012"
113420,"Fallen Earth Free2Play, Reloaded Productions, 2011"
224600,"Defiance, Trion Worlds, Inc., 2014"
224540,"Ace of Spades: Battle Builder, Jagex Limited, 2012"
233450,"Prison Architect, Introversion Software, 2015"
215530,"The Incredible Adventures of Van Helsing, NeocoreGames, 2013"
359550,"Tom Clancy's Rainbow Six® Siege, Ubisoft Montreal, 2015"
383980,"Rivals of Aether, Dan Fornace, 2017"
391460,"WARMODE, WARTEAM, 2015"
10500,"Empire: Total War™, The Creative Assembly,Feral Interactive (Mac),Feral Interactive (Linux), 2009"
239160,"Thief, Eidos-Montréal,Feral Interactive (Mac), 2014"
322330,"Don't Starve Together, Klei Entertainment, 2016"
238460,"BattleBlock Theater®, The Behemoth, 2014"
39120,"RIFT, Trion Worlds, 2013"
328220,"Wild Season, Quickfire Games, 2015"
346560,"Hero of the Kingdom II, Lonely Troops, 2015"
239070,"Hammerwatch, Crackshell, 2013"
310380,"Fractured Space, Edge Case Games Ltd., 2016"
255710,"Cities: Skylines, Colossal Order Ltd., 2015"
10680,"Aliens vs. Predator™, Rebellion, 2010"
238320,"Outlast, Red Barrels, 2013"
201420,"Toki Tori 2+, Two Tribes, 2013"
300570,"Infinifactory, Zachtronics, 2015"
206210,"Gotham City Impostors Free to Play, Monolith Productions, Inc., 2012"
339610,"Freestyle 2: Street Basketball, Joycity, 2015"
13210,"Unreal Tournament 3 Black, Epic Games, Inc., 2007"
22120,"Penumbra: Black Plague Gold Edition, Frictional Games, 2009"
39150,"FINAL FANTASY VIII, Square Enix, 2013"
293780,"Crawl, Powerhoof, 2017"
244050,"Rise of Flight United, 777 Studios, 2013"
242720,"GunZ 2: The Second Duel, Masangsoft, Inc., 2014"
251630,"The Impossible Game, Grip Games, 2014"
55140,"MX vs. ATV Reflex, Double Helix Games,Rainbow Studios,THQ Nordic, 2010"
318430,"Squishy the Suicidal Pig, Tomi Maarela,Elias Viglione, 2014"
334230,"Town of Salem, BlankMediaGames, 2014"
225260,"Brutal Legend, Double Fine Productions, 2013"
45730,"Dark Void™ Zero, Other Ocean Interactive, 2010"
99400,"Garshasp: The Monster Slayer, Dead Mage, 2011"
213650,"Dwarfs - F2P, Power of 2, 2012"
233190,"Final Exam, Mighty Rocket Studio, 2013"
261880,"Corporate Lifestyle Simulator, DolphinBarn, 2014"
263760,"Turbo Dismount™, Secret Exit Ltd., 2014"
230840,"Daylight, Zombie Studios, 2014"
340050,"Survivalist, Bob the Game Development Bot, 2015"
220780,"Thomas Was Alone, Bithell Games, 2012"
237740,"Angry Video Game Nerd Adventures, FreakZone Games, 2013"
363970,"Clicker Heroes, Playsaurus, 2015"
4560,"Company of Heroes - Legacy Edition, Relic Entertainment, 2006"
224760,"FEZ, Polytron Corporation, 2013"
291480,"Warface, Crytek, 2014"
322910,"Warhammer 40,000: Regicide, Hammerfall Publishing, 2015"
246620,"Plague Inc: Evolved, Ndemic Creations, 2016"
393420,"Hurtworld, Bankroll Studios, 2015"
237870,"Planet Explorers, Pathea Games, 2016"
94400,"Nidhogg, Messhof, 2014"
238010,"Deus Ex: Human Revolution - Director's Cut, Eidos Montreal,Feral Interactive (Mac), 2013"
241930,"Middle-earth™: Shadow of Mordor™, Monolith Productions,Feral Interactive (Mac),Feral Interactive (Linux), 2014"
207140,"SpeedRunners, DoubleDutch Games, 2016"
302590,"Of Guards And Thieves, Subvert Games, 2016"
242880,"Sir, You Are Being Hunted, Big Robot Ltd, 2013"
49600,"Beat Hazard, Cold Beam Games, 2010"
109600,"Neverwinter, Cryptic Studios, 2013"
242050,"Assassin’s Creed® IV Black Flag™, Ubisoft Montreal, 2013"
330840,"Game of Thrones - A Telltale Games Series, Telltale Games, 2014"
248310,"Freedom Planet, GalaxyTrail, 2014"
259720,"Fading Hearts, Sakura River Interactive, 2009"
238430,"Contagion, Monochrome, Inc, 2013"
267750,"Shadowrun Chronicles - Boston Lockdown, Cliffhanger Productions, 2015"
293920,"Spirited Heart Deluxe, Winter Wolves, 2011"
400,"Portal, Valve, 2007"
305620,"The Long Dark, Hinterland Studio Inc., 2017"
323370,"TERA, Bluehole, Inc., 2015"
287920,"Mortal Online, Star Vault AB, 2015"
70000,"Dino D-Day, 800 North and Digital Ranch, 2011"
244410,"Supreme Ruler 1936, BattleGoat Studios, 2014"
17480,"Command &amp; Conquer: Red Alert 3, EA Los Angeles, 2008"
20500,"Red Faction Guerrilla Steam Edition, Volition,Reactor Zero,THQ Nordic, 2009"
263500,"Dragons and Titans, Wyrmbyte, 2014"
249650,"Blackguards, Daedalic Entertainment, 2014"
221180,"Eufloria HD, Rudolf Kremers &amp; Alex May,Tuna, 2014"
40800,"Super Meat Boy, Team Meat, 2010"
206190,"Gunpoint, Suspicious Developments, 2013"
268650,"From the Depths, Brilliant Skies Ltd., 2014"
285900,"Gang Beasts, Boneloaf, 2017"
239720,"PAC-MAN™ and the Ghostly Adventures, NAMCO BANDAI Games, 2013"
376560,"Big Fish Legend, Igry.ru, 2015"
42960,"Victoria II, Paradox Development Studio, 2010"
25890,"Hearts of Iron III, Paradox Development Studio, 2009"
236090,"Dust: An Elysian Tail, Humble Hearts LLC, 2013"
6860,"Hitman: Blood Money, Io-Interactive A/S, 2006"
17080,"Tribes: Ascend, Hi-Rez Studios, 2012"
273110,"Counter-Strike Nexon: Zombies, Nexon, 2014"
312280,"Simply Chess, BlueLine Games, 2015"
34900,"Bad Rats: the Rats' Revenge, Invent4 Entertainment, 2009"
354140,"Five Nights at Freddy's 3, Scott Cawthon, 2015"
34830,"Sniper: Ghost Warrior, City Interactive, 2010"
203140,"Hitman: Absolution™, Io-Interactive A/S,Feral Interactive (Mac), 2012"
204450,"Call of Juarez® Gunslinger, Techland, 2013"
41700,"S.T.A.L.K.E.R.: Call of Pripyat, GSC Game World, 2010"
24240,"PAYDAY™ The Heist, OVERKILL Software, 2011"
50130,"Mafia II, 2K Czech,Feral Interactive (Mac), 2011"
244450,"Men of War: Assault Squad 2, Digitalmindsoft, 2014"
11610,"Dragon Nest, Eyedentity Games Inc., 2012"
20900,"The Witcher: Enhanced Edition Director's Cut, CD PROJEKT RED, 2008"
330830,"Tales from the Borderlands, Telltale Games, 2014"
282070,"This War of Mine, 11 bit studios, 2014"
306130,"The Elder Scrolls® Online: Tamriel Unlimited™, Zenimax Online Studios, 2014"
67370,"The Darkness II, Digital Extremes, 2012"
205100,"Dishonored, Arkane Studios, 2012"
4920,"Natural Selection 2, Unknown Worlds Entertainment, 2012"
212800,"Super Crate Box, Vlambeer, 2010"
346120,"Boring Man - Online Tactical Stickman Combat, Spasman Games, 2014"
423880,"Carpe Diem, Eyzi, 2015"
4700,"Medieval II: Total War™, The Creative Assembly,Feral Interactive (Mac),Feral Interactive (Linux), 2006"
209730,"R.A.W. Realms of Ancient War, Wizarbox, 2012"
250400,"How to Survive, Eko Software, 2013"
57690,"Tropico 4, Haemimont Games, 2011"
242920,"Banished, Shining Rock Software LLC, 2014"
314020,"Morphopolis, Dan  Walters,Ceri Williams, 2014"
249130,"LEGO® Marvel™ Super Heroes, Traveller's Tales, 2013"
241600,"Rogue Legacy, Cellar Door Games, 2013"
58610,"Wargame: European Escalation, Eugen Systems, 2012"
263060,"Blockstorm, GhostShark, 2015"
24720,"SPORE™ Galactic Adventures, EA - Maxis, 2009"
216150,"MapleStory, Nexon, 2012"
416670,"Gunslingers, webgames, 2015"
287450,"Rise of Nations: Extended Edition, SkyBox Labs,Big Huge Games, 2014"
287390,"Metro: Last Light Redux, 4A Games, 2014"
204180,"Waveform, Eden Industries, 2012"
266010,"LYNE, Thomas Bowker, 2014"
235460,"METAL GEAR RISING: REVENGEANCE, PlatinumGames, 2014"
251060,"Wargame: Red Dragon, Eugen Systems, 2014"
327890,"I am Bread, Bossa Studios, 2015"
245170,"Skullgirls, Lab Zero Games, 2013"
7670,"BioShock™, 2K Boston,2K Australia, 2007"
214250,"I Am Alive, Ubisoft  Shanghaï, 2012"
274190,"Broforce, Free Lives, 2015"
304240,"Resident Evil / biohazard HD REMASTER, CAPCOM Co., Ltd., 2015"
21690,"Resident Evil™ 5/ Biohazard 5®, Capcom, 2009"
321360,"Primal Carnage: Extinction, Circle Five Studios,Pub Games, 2015"
239800,"Bleed, Ian Campbell, 2013"
329490,"Phantom Breaker: Battle Grounds, MAGES. Inc., 2015"
409160,"Dr. Langeskov, The Tiger, and The Terribly Cursed Emerald: A Whirlwind Heist, Crows Crows Crows, 2015"
265810,"The Sandbox, PIXOWL INC., 2015"
247000,"Talisman: Digital Edition, Nomad Games, 2014"
335330,"Brick-Force, Exe Games Inc., 2012"
351290,"Survival: Postapocalypse Now, TB Games, 2015"
40100,"Supreme Commander 2, Gas Powered Games, 2010"
357330,"Space Beast Terror Fright, nornware AB, 2015"
102500,"Kingdoms of Amalur: Reckoning™, Big Huge Games,38 Studios, 2012"
34870,"Sniper: Ghost Warrior 2, City Interactive, 2013"
266510,"Hand of Fate, Defiant Development, 2015"
321980,"Hardland, Mountain Sheep, 2014"
342300,"Zombie Kill of the Week - Reborn, Still Running, 2015"
35720,"Trine 2: Complete Story, Frozenbyte, 2013"
236110,"Dungeon Defenders II, Trendy Entertainment, 2017"
35140,"Batman: Arkham Asylum Game of the Year Edition, Rocksteady Studios,Feral Interactive (Mac), 2010"
367240,"Avenging Angel, Dark Amber Softworks, 2015"
201810,"Wolfenstein: The New Order, Machine Games, 2014"
65800,"Dungeon Defenders, Trendy Entertainment, 2011"
200710,"Torchlight II, Runic Games, 2012"
207250,"Cubemen, 3 Sprockets, 2012"
313340,"Mountain, David OReilly, 2014"
211400,"Deadlight, Tequila Works, S.L., 2012"
222750,"Wargame: Airland Battle, Eugen Systems, 2013"
1900,"Earth 2160, Reality Pump Studios, 2006"
339800,"HuniePop, HuniePot, 2015"
249870,"Scribblenauts Unmasked: A DC Comics Adventure, 5th Cell Media, 2013"
242860,"Verdun, M2H,Blackmill Games, 2015"
219890,"Antichamber, Alexander Bruce, 2013"
296470,"Mount Your Friends, Stegersaurus Software Inc., 2014"
91700,"E.Y.E: Divine Cybermancy, Streum On Studio, 2011"
235360,"Prime World: Defenders, Nival, 2013"
33230,"Assassin's Creed 2 Deluxe Edition, Ubisoft Montreal, 2010"
250420,"8BitMMO, Archive Entertainment, 2015"
418070,"Turbo Pug, Space Cat Studios,SnowFlame,Back To Basics Gaming, 2015"
301970,"Screencheat, Samurai Punk, 2014"
253610,"Wrack, Final Boss Entertainment, 2014"
360740,"Downwell, Moppin, 2015"
64000,"Men of War: Assault Squad, Digitalmindsoft, 2011"
230050,"DLC Quest, Going Loud Studios, 2013"
8970,"Axel &amp; Pixel, Silver Wish Games, 2010"
233290,"Murdered: Soul Suspect, Airtight Games, 2014"
335240,"Transformice, Atelier 801, 2015"
70300,"VVVVVV, Terry Cavanagh, 2010"
273350,"Evolve Stage 2, Turtle Rock Studios, 2015"
342560,"Airships: Conquer the Skies, David Stark, 2015"
305260,"Battle Islands, DR Studios, 2014"
22300,"Fallout 3, Bethesda Game Studios, 2008"
40400,"AI War: Fleet Command, Arcen Games, LLC, 2009"
307780,"Mortal Kombat X, NetherRealm Studios,High Voltage Software, 2015"
208480,"Assassin’s Creed® III, Ubisoft Montreal, 2012"
318220,"Enforcer: Police Crime Action, Odin Game Studio, 2014"
388090,"Five Nights at Freddy's 4, Scott Cawthon, 2015"
302670,"Call to Arms, Digitalmindsoft, 2016"
227580,"10,000,000, EightyEightGames, 2013"
228960,"Skulls of the Shogun, 17-BIT, 2013"
312210,"The Fifth Day, Touz, 2014"
293540,"Guns and Robots, Masthead Studios Ltd, 2014"
332070,"School of Dragons, JumpStart Games, Inc., 2014"
247240,"Volgarr the Viking, Crazy Viking Studios, 2013"
24960,"Battlefield: Bad Company™ 2, DICE, 2010"
215670,"Home, Benjamin Rivers Inc., 2012"
44350,"GRID 2, Codemasters Racing,Feral Interactive (Mac), 2013"
222980,"Dead Pixels, CSR-Studios, 2012"
207230,"ArcheBlade™, CodeBrush Games, 2014"
335190,"200% Mixed Juice!, Orange_Juice, 2015"
224480,"Octodad: Dadliest Catch, Young Horses, 2014"
326480,"If My Heart Had Wings, MoeNovel, 2013"
63380,"Sniper Elite V2, Rebellion, 2012"
297000,"Heroes® of Might &amp; Magic® III - HD Edition, DotEmu, 2015"
345820,"Shantae and the Pirate's Curse, WayForward, 2015"
226580,"F1 2014, Codemasters, 2014"
41800,"Gratuitous Space Battles, Positech Games, 2009"
267600,"Airport Simulator 2014, United Independent Entertainment GmbH, 2013"
24010,"Train Simulator, Dovetail Games, 2009"
284160,"BeamNG.drive, BeamNG, 2015"
295490,"Schrödinger’s Cat And The Raiders Of The Lost Quark, Italic Pig, 2014"
258180,"Deus Ex: The Fall, Square Enix, 2014"
47810,"Dragon Age: Origins - Ultimate Edition, BioWare, 2010"
2500,"Shadowgrounds, Frozenbyte, 2006"
281370,"Real Horror Stories Ultimate Edition, GameORE, 2014"
253770,"Bus-Simulator 2012, TML Studios, 2012"
233840,"Worms Clan Wars, Team17 Digital Ltd, 2013"
270090,"//N.P.P.D. RUSH//- The milk of Ultraviolet, Rail Slave Games, 2014"
395910,"Get Rich or Die Gaming, Baller Industries, 2010"
7520,"Two Worlds II HD, Reality Pump Studios, 2011"
17710,"Nuclear Dawn, GameConnect,InterWave Studios, 2011"
113400,"APB Reloaded, Reloaded Productions, 2011"
408990,"Timber and Stone, Games by Robert, LLC, 2015"
65780,"ARMA: Gold Edition, Bohemia Interactive, 2011"
303390,"Dead Bits, Microblast Games, 2014"
99900,"Spiral Knights, Grey Havens, 2011"
332310,"LEGO® Worlds, TT Games,Traveller's Tales, 2017"
48720,"Mount &amp; Blade: With Fire &amp; Sword, TaleWorlds Entertainment, 2011"
298240,"Red Crucible®: Firestorm, Rocketeer Games Studio, LLC, 2015"
236370,"Interstellar Marines, Zero Point Software, 2013"
245280,"ENSLAVED™: Odyssey to the West™ Premium Edition, Ninja Theory, 2013"
340170,"FINAL FANTASY TYPE-0™ HD, Square Enix, 2015"
25000,"Overgrowth, Wolfire Games, 2017"
22350,"BRINK, Splash Damage, 2011"
98400,"Hard Reset Extended Edition, Flying Wild Hog, 2012"
331500,"Executive Assault, Hesketh Studios, 2015"
363360,"Interstellar Rift, Split Polygon, 2015"
263280,"SPINTIRES™, Oovee® Game Studios, 2014"
24740,"Burnout Paradise: The Ultimate Box, Criterion Games, 2009"
208650,"Batman™: Arkham Knight, Rocksteady Studios, 2015"
35480,"Dwarfs!?, Power of 2, 2011"
219830,"King Arthur's Gold, Transhuman Design, 2013"
15620,"Warhammer 40,000: Dawn of War II, Relic Entertainment,Feral Interactive (Mac/Linux), 2009"
250260,"Jazzpunk: Director's Cut, Necrophone Games, 2014"
237990,"The Banner Saga, Stoic, 2014"
8170,"Battlestations Pacific, Eidos Studio Hungary, 2009"
265890,"Hexcells, Matthew Brown, 2014"
395520,"Missing Translation, AlPixel Games,Luis Diaz,Gustavo Santos,Albert Fernandez,Tice Thomason, 2015"
225600,"Blade Symphony, Puny Human, 2014"
234670,"NARUTO SHIPPUDEN: Ultimate Ninja STORM 3 Full Burst HD, CyberConnect2 Co. Ltd., 2013"
71340,"Sonic Generations Collection, Devil's Details, 2011"
